,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/icobox,ICOBox,Completed,"$14,945,400.00",15.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/cofoundit,Cofound.it,Completed,"$14,859,059.00",06.06.2017,$0.118873,$0.28543,2.401,0
https://www.icodata.io/coin/deepbrain-chain,Deepbrain Chain,Completed,"$19,693,574.00",15.12.2017,$0.01518,$0,0.000,0
https://www.icodata.io/coin/neufund,Neufund,Completed,"$14,790,679.00",17.12.2017,$0.36,$0,0.000,0
https://www.icodata.io/coin/nimiq,Nimiq,Completed,"$14,528,400.00",09.07.2017,$1.383657,$6.12363,4.426,0
https://www.icodata.io/coin/gatcoin,GATCOIN,Completed,"$14,500,000.00",14.01.2018,$0.0909,$0,0.000,0
https://www.icodata.io/coin/time-new-bank,Time New Bank,Completed,"$14,416,000.00",21.11.2017,$0.01802,$0,0.000,0
https://www.icodata.io/coin/leverj,Leverj,Completed,"$22,623,538.00",07.12.2017,$0.143355,$0,0.000,0
https://www.icodata.io/coin/mysterium-network,Mysterium,Completed,"$14,075,000.00",30.05.2017,$0.925987,$1.7109,1.848,0
https://www.icodata.io/coin/cashaa,Cashaa,Completed,"$14,000,000.00",06.12.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/adbank,adbank,Completed,"$14,000,000.00",21.01.2018,$0.0465,$0,0.000,0
https://www.icodata.io/coin/substratum,Substratum,Completed,"$13,800,000.00",17.09.2017,$0.050589,$1.8911,37.382,0
https://www.icodata.io/coin/micromoney,MicroMoney,Completed,"$13,681,585.00",18.11.2017,$1,$0,0.000,0
https://www.icodata.io/coin/protos,Protos,Completed,"$13,626,833.00",15.12.2017,$0,$0,0.000,0
https://www.icodata.io/coin/zilla,Zilla,Completed,"$13,500,000.00",30.12.2017,$1.4,$0,0.000,0
https://www.icodata.io/coin/dragonchain,Dragonchain,Completed,"$13,457,071.00",02.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/cobinhood,Cobinhood,Completed,"$13,078,400.00",23.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/tokencard,TokenCard,Completed,"$12,700,000.00",02.05.2017,$0.537133,$3.57315,6.652,0
https://www.icodata.io/coin/oracles-network,Oracles Network,Completed,"$12,641,032.00",17.11.2017,$0.079774,$0,0.000,0
https://www.icodata.io/coin/gladius,Gladius,Completed,"$12,500,000.00",29.12.2017,$1.2,$0,0.000,0
https://www.icodata.io/coin/gnosis,Gnosis,Completed,"$12,500,000.00",24.04.2017,$29.850033,$349.417,11.706,0
https://www.icodata.io/coin/science-blockchain,Science Blockchain,Completed,"$12,298,073.00",22.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/boscoin,Boscoin,Completed,"$12,202,996.00",20.06.2017,$0,$0,0.000,0
https://www.icodata.io/coin/lampix,Lampix,Completed,"$12,172,472.00",19.08.2017,$0.21323,$0.14654,0.687,0
https://www.icodata.io/coin/iexec,iExec RLC,Completed,"$12,158,963.00",19.04.2017,$0.202649,$3.66177,18.069,0
